Event,Time Start,Time End
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:22:51 AM,11:26:02 AM
WL_Lecture-Focus_of_Activity-FP_Simulating_IS,11:25:51 AM,11:26:03 AM
WL_Lecture-Focus_of_Activity-Disciplinary_Content_Knowledge,11:25:53 AM,11:26:04 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:26:07 AM,11:26:17 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:26:23 AM,11:27:43 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:26:24 AM,11:27:43 AM
SG_Discuss-Focus_of_Activity-FP_Simulating_IS,11:27:44 AM,11:27:48 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:27:46 AM,11:27:48 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:27:51 AM,11:27:53 AM
LG_Open_Discuss-Focus_of_Activity-Analyzing_Simulated_IS,11:27:54 AM,11:28:13 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:28:16 AM,11:28:35 AM
SG_Discuss-Focus_of_Activity-FP_Simulating_IS,11:28:38 AM,11:29:13 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:28:39 AM,11:29:13 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:29:18 AM,11:29:30 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:29:31 AM,11:30:09 AM
SG_Discuss-Focus_of_Activity-FP_Simulating_IS,11:30:10 AM,11:31:38 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:30:11 AM,11:31:38 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:31:40 AM,11:32:12 AM
LG_Closed_WLQ-Focus_of_Activity-FP_Simulating_IS,11:32:14 AM,11:32:25 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:32:25 AM,11:32:30 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:32:31 AM,11:32:47 AM
LG_Closed_FPQ-Focus_of_Activity-FP_Simulating_IS,11:32:48 AM,11:34:06 AM
LG_Closed_FPQ-Focus_of_Activity-Disciplinary_Content_Knowledge,11:32:52 AM,11:34:06 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:34:08 AM,11:34:28 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:34:27 AM,11:34:53 AM
LG_Closed_WLQ-Focus_of_Activity-Disciplinary_Content_Knowledge,11:34:30 AM,11:35:24 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:35:00 AM,11:35:24 AM
LG_Open_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:35:25 AM,11:36:11 AM
LG_Open_Discuss-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:35:25 AM,11:36:11 AM
LG_Closed_WLQ-Focus_of_Activity-Disciplinary_Content_Knowledge,11:36:12 AM,11:38:23 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:36:13 AM,11:38:23 AM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,11:38:25 AM,11:38:29 AM
FP_Ind_Work-Focus_of_Activity-WL_Simulating_IS,11:38:32 AM,11:39:15 AM
FP_Ind_Work-Focus_of_Activity-Student_Experiences,11:38:36 AM,11:39:15 AM
FP_Ind_Work-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:38:56 AM,11:39:15 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:39:19 AM,11:39:23 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:39:25 AM,11:39:43 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:39:29 AM,11:39:43 AM
LG_Closed_FPQ-Focus_of_Activity-Analyzing_Simulated_IS,11:39:44 AM,11:40:08 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:40:09 AM,11:40:25 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:40:10 AM,11:40:25 AM
LG_Closed_FPQ-Focus_of_Activity-FP_Simulating_IS,11:40:26 AM,11:40:29 AM
LG_Closed_FPQ-Focus_of_Activity-Analyzing_Simulated_IS,11:40:29 AM,11:40:31 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:40:32 AM,11:40:39 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:40:32 AM,11:40:39 AM
FP_Ind_Work-Focus_of_Activity-FP_Simulating_IS,11:40:40 AM,11:40:44 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,11:40:40 AM,11:40:44 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:40:45 AM,11:40:47 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:40:46 AM,11:40:47 AM
FP_Ind_Work-Focus_of_Activity-FP_Simulating_IS,11:40:48 AM,11:40:53 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,11:40:49 AM,11:40:53 AM
LG_Closed_FPQ-Focus_of_Activity-FP_Simulating_IS,11:40:54 AM,11:40:55 AM
LG_Closed_FPQ-Focus_of_Activity-Analyzing_Simulated_IS,11:40:55 AM,11:41:11 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:41:12 AM,11:41:14 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:41:15 AM,11:41:36 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:41:37 AM,11:41:49 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:41:38 AM,11:41:49 AM
FP_Ind_Work-Focus_of_Activity-FP_Simulating_IS,11:41:50 AM,11:42:02 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,11:41:51 AM,11:42:02 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:42:03 AM,11:42:07 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:42:03 AM,11:42:07 AM
LG_Closed_FPQ-Focus_of_Activity-Analyzing_Simulated_IS,11:42:09 AM,11:42:20 AM
FP_Ind_Work-Focus_of_Activity-FP_Simulating_IS,11:42:21 AM,11:42:44 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,11:42:22 AM,11:42:44 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:42:45 AM,11:42:47 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:42:45 AM,11:42:47 AM
LG_Closed_FPQ-Focus_of_Activity-Analyzing_Simulated_IS,11:42:48 AM,11:42:54 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:42:54 AM,11:43:22 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:42:55 AM,11:43:22 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:43:24 AM,11:43:36 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:43:36 AM,11:43:56 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:43:57 AM,11:44:13 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:43:58 AM,11:44:13 AM
SG_Discuss-Focus_of_Activity-FP_Simulating_IS,11:44:14 AM,11:45:43 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:44:15 AM,11:45:43 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:45:44 AM,11:45:52 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:45:45 AM,11:45:52 AM
SG_Discuss-Focus_of_Activity-FP_Simulating_IS,11:45:53 AM,11:46:00 AM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,11:45:54 AM,11:46:00 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:46:01 AM,11:46:26 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:46:02 AM,11:46:26 AM
LG_Closed_FPQ-Focus_of_Activity-Analyzing_Simulated_IS,11:46:27 AM,11:47:18 AM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:47:19 AM,11:47:31 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:47:34 AM,11:47:47 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:47:35 AM,11:47:47 AM
LG_Closed_FPQ-Focus_of_Activity-FP_Simulating_IS,11:47:48 AM,11:48:22 AM
LG_Closed_FPQ-Focus_of_Activity-Disciplinary_Content_Knowledge,11:47:49 AM,11:48:23 AM
LG_Closed_FPQ-Focus_of_Activity-Analyzing_Simulated_IS,11:48:23 AM,11:48:30 AM
