Event,Time Start,Time End
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,11:56:33 AM,11:56:40 AM
WL_Lecture-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:56:34 AM,11:56:40 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:56:43 AM,11:56:53 AM
LG_Closed_WLQ-Focus_of_Activity-Student_Experiences,11:56:52 AM,11:57:27 AM
LG_Closed_WLQ-Focus_of_Activity-Disciplinary_Content_Knowledge,11:56:53 AM,11:57:27 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:56:57 AM,11:57:27 AM
FP_Ind_Work-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:57:30 AM,11:57:54 AM
FP_Ind_Work-Focus_of_Activity-Student_Experiences,11:57:33 AM,11:57:54 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,11:57:35 AM,11:57:54 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:57:57 AM,11:57:58 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:57:59 AM,11:58:04 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,11:58:05 AM,11:58:19 AM
LG_Closed_WLQ-Focus_of_Activity-Student_Experiences,11:58:07 AM,11:58:19 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:58:20 AM,11:58:23 AM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,11:58:24 AM,11:58:33 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:58:35 AM,11:58:45 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:58:43 AM,11:58:45 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:58:48 AM,11:59:15 AM
LG_Closed_WLQ-Focus_of_Activity-Workshop_Instructions,11:59:10 AM,11:59:12 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:59:18 AM,11:59:22 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:59:23 AM,11:59:23 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:59:24 AM,11:59:31 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,11:59:32 AM,11:59:38 AM
FP_Present-Focus_of_Activity-FP_Simulating_IS,11:59:39 AM,11:59:42 AM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,11:59:40 AM,11:59:42 AM
FP_Ind_Work-Focus_of_Activity-FP_Simulating_IS,11:59:42 AM,11:59:58 AM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,11:59:43 AM,11:59:58 AM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,12:00:00 PM,12:00:28 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,12:00:28 PM,12:00:45 PM
WL_Lecture-Focus_of_Activity-Student_Experiences,12:00:31 PM,12:00:37 PM
FP_Ind_Work-Focus_of_Activity-FP_Simulating_IS,12:00:46 PM,12:01:15 PM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,12:00:46 PM,12:01:15 PM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,12:01:17 PM,12:01:27 PM
FP_Ind_Work-Focus_of_Activity-FP_Simulating_IS,12:01:27 PM,12:01:58 PM
FP_Ind_Work-Focus_of_Activity-Student_Experiences,12:01:28 PM,12:01:28 PM
FP_Ind_Work-Focus_of_Activity-Student_Experiences,12:01:29 PM,12:01:29 PM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,12:01:30 PM,12:01:58 PM
FP_Present-Focus_of_Activity-FP_Simulating_IS,12:01:59 PM,12:02:27 PM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,12:01:59 PM,12:02:27 PM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,12:02:30 PM,12:02:38 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,12:02:39 PM,12:03:03 PM
FP_Present-Focus_of_Activity-FP_Simulating_IS,12:03:04 PM,12:03:19 PM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,12:03:05 PM,12:03:19 PM
SG_Discuss-Focus_of_Activity-FP_Simulating_IS,12:03:20 PM,12:05:08 PM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge,12:03:20 PM,12:05:08 PM
FP_Present-Focus_of_Activity-FP_Simulating_IS,12:05:09 PM,12:05:34 PM
FP_Present-Focus_of_Activity-Disciplinary_Content_Knowledge,12:05:09 PM,12:05:34 PM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,12:05:35 PM,12:05:41 PM
LG_Closed_FPQ-Focus_of_Activity-Analyzing_Simulated_IS,12:05:42 PM,12:06:05 PM
LG_Closed_FPQ-Focus_of_Activity-Workshop_Instructions,12:05:57 PM,12:05:59 PM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,12:06:06 PM,12:06:43 PM
FP_Present-Focus_of_Activity-FP_Simulating_IS,12:06:45 PM,12:06:46 PM
LG_Closed_FPQ-Focus_of_Activity-FP_Simulating_IS,12:06:47 PM,12:07:28 PM
LG_Closed_FPQ-Focus_of_Activity-Disciplinary_Content_Knowledge,12:06:48 PM,12:07:28 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,12:07:29 PM,12:07:34 PM
LG_Closed_FPQ-Focus_of_Activity-FP_Simulating_IS,12:07:35 PM,12:07:55 PM
LG_Closed_FPQ-Focus_of_Activity-Disciplinary_Content_Knowledge,12:07:36 PM,12:07:55 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,12:07:58 PM,12:08:08 PM
