Event,Time Start,Time End
WL_Lecture-Focus_of_Activity-Workshop_Instructions, 8:35:59 PM, 8:36:20 PM
SG_Discuss-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:36:21 PM, 8:37:01 PM
WL_Lecture-Focus_of_Activity-Workshop_Instructions, 8:37:07 PM, 8:37:11 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:37:12 PM, 8:39:21 PM
FP_Ind_Work-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:39:22 PM, 8:39:26 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:39:27 PM, 8:39:55 PM
WL_Lecture-Focus_of_Activity-Planning_for_FP_Future_Teaching, 8:39:49 PM, 8:39:51 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:39:56 PM, 8:39:59 PM
FP_Ind_Work-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:40:00 PM, 8:40:14 PM
LG_Closed_WLQ-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:40:15 PM, 8:40:25 PM
LG_Closed_WLQ-Focus_of_Activity-Workshop_Instructions, 8:40:24 PM, 8:40:25 PM
WL_Lecture-Focus_of_Activity-Workshop_Instructions, 8:40:26 PM, 8:40:39 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose, 8:40:30 PM, 8:40:39 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:40:40 PM, 8:40:59 PM
LG_Closed_WLQ-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:41:00 PM, 8:41:03 PM
FP_Ind_Work-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:41:04 PM, 8:41:45 PM
LG_Closed_WLQ-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:42:19 PM, 8:42:55 PM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS, 8:42:21 PM, 8:42:21 PM
LG_Closed_WLQ-Focus_of_Activity-WL_Simulating_IS, 8:42:22 PM, 8:42:55 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:42:57 PM, 8:43:19 PM
WL_Lecture-Focus_of_Activity-Workshop_Instructions, 8:43:20 PM, 8:43:43 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:43:41 PM, 8:44:13 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:44:10 PM, 8:44:25 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:44:22 PM, 8:44:30 PM
WL_Lecture-Focus_of_Activity-Education_Research_Theory_and_Results, 8:44:33 PM, 8:44:37 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose, 8:44:37 PM, 8:45:15 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:44:41 PM, 8:45:16 PM
WL_Lecture-Focus_of_Activity-Education_Research_Theory_and_Results, 8:45:14 PM, 8:45:56 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:45:42 PM, 8:45:49 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose, 8:45:57 PM, 8:47:55 PM
WL_Lecture-Focus_of_Activity-Education_Research_Theory_and_Results, 8:46:23 PM, 8:46:36 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:47:09 PM, 8:47:11 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:47:14 PM, 8:47:32 PM
WL_Lecture-Focus_of_Activity-Student_Experiences, 8:47:28 PM, 8:47:30 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:47:35 PM, 8:47:40 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:47:49 PM, 8:48:05 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:47:56 PM, 8:48:04 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose, 8:48:06 PM, 8:49:53 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:48:17 PM, 8:50:13 PM
WL_Lecture-Focus_of_Activity-Student_Experiences, 8:49:29 PM, 8:49:35 PM
