Event,Time Start,Time End
WL_Lecture-Focus_of_Activity-WL_Simulating_IS,12:14:58 PM,12:15:01 PM
FP_Ind_Work-Focus_of_Activity-WL_Simulating_IS,12:15:02 PM,12:15:13 PM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge,12:15:02 PM,12:15:13 PM
WL_Lecture-Focus_of_Activity-Workshop_Instructions,12:15:14 PM,12:15:20 PM
WL_Lecture-Focus_of_Activity-WL_Simulating_IS,12:15:17 PM,12:16:29 PM
WL_Lecture-Focus_of_Activity-Disciplinary_Content_Knowledge,12:15:35 PM,12:16:29 PM
LG_Closed_WLQ-Focus_of_Activity-WL_Simulating_IS,12:16:30 PM,12:16:47 PM
LG_Closed_WLQ-Focus_of_Activity-Disciplinary_Content_Knowledge,12:16:31 PM,12:16:47 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose,12:16:49 PM,12:16:56 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS,12:16:55 PM,12:16:59 PM
LG_Closed_WLQ-Focus_of_Activity-Disciplinary_Content_Knowledge,12:17:03 PM,12:17:11 PM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_Simulated_IS,12:17:06 PM,12:17:08 PM
LG_Closed_WLQ-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,12:17:08 PM,12:17:11 PM
LG_Closed_FPQ-Focus_of_Activity-Disciplinary_Content_Knowledge,12:17:12 PM,12:17:21 PM
LG_Closed_FPQ-Focus_of_Activity-Analyzing_and_Creating_Student_Tasks,12:17:13 PM,12:17:21 PM
WL_Lecture-Focus_of_Activity-WL_Simulating_IS,12:17:24 PM,12:17:24 PM
